GeoID,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Percent!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Percent!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Percent!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Percent!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Percent!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!62 years and over,Percent!!SEX AND AGE!!62 years and over,Estimate!!SEX AND AGE!!18 years and over.1,Percent!!SEX AND AGE!!18 years and over.1,Estimate!!SEX AND AGE!!18 years and over!!Male,Percent!!SEX AND AGE!!18 years and over!!Male,Estimate!!SEX AND AGE!!18 years and over!!Female,Percent!!SEX AND AGE!!18 years and over!!Female,year
1400000US06037800102,"Census Tract 8001.02, Los Angeles County, California",7283,7283,3338,45.8,3945,54.2,5324,73.1,5249,72.1,1039,14.3,5324,5324,2623,49.3,2701,50.7,2014
1400000US06037800202,"Census Tract 8002.02, Los Angeles County, California",6133,6133,2989,48.7,3144,51.3,4241,69.2,4012,65.4,922,15.0,4241,4241,2064,48.7,2177,51.3,2014
1400000US06037800203,"Census Tract 8002.03, Los Angeles County, California",5273,5273,2685,50.9,2588,49.1,4085,77.5,3877,73.5,900,17.1,4085,4085,2036,49.8,2049,50.2,2014
1400000US06037800204,"Census Tract 8002.04, Los Angeles County, California",4793,4793,1952,40.7,2841,59.3,3686,76.9,3520,73.4,1184,24.7,3686,3686,1552,42.1,2134,57.9,2014
1400000US06037800324,"Census Tract 8003.24, Los Angeles County, California",6881,6881,3453,50.2,3428,49.8,5166,75.1,4986,72.5,983,14.3,5166,5166,2563,49.6,2603,50.4,2014
1400000US06037800325,"Census Tract 8003.25, Los Angeles County, California",3352,3352,1528,45.6,1824,54.4,2685,80.1,2630,78.5,1115,33.3,2685,2685,1156,43.1,1529,56.9,2014
1400000US06037800326,"Census Tract 8003.26, Los Angeles County, California",5019,5019,2550,50.8,2469,49.2,4029,80.3,3784,75.4,1261,25.1,4029,4029,2021,50.2,2008,49.8,2014
1400000US06037800327,"Census Tract 8003.27, Los Angeles County, California",5514,5514,2806,50.9,2708,49.1,4071,73.8,3990,72.4,905,16.4,4071,4071,2009,49.3,2062,50.7,2014
1400000US06037800328,"Census Tract 8003.28, Los Angeles County, California",2911,2911,1298,44.6,1613,55.4,2219,76.2,2109,72.4,256,8.8,2219,2219,1041,46.9,1178,53.1,2014
1400000US06037800329,"Census Tract 8003.29, Los Angeles County, California",6932,6932,3357,48.4,3575,51.6,4995,72.1,4860,70.1,691,10.0,4995,4995,2306,46.2,2689,53.8,2014
1400000US06037800330,"Census Tract 8003.30, Los Angeles County, California",1008,1008,516,51.2,492,48.8,776,77.0,738,73.2,199,19.7,776,776,392,50.5,384,49.5,2014
1400000US06037800331,"Census Tract 8003.31, Los Angeles County, California",810,810,361,44.6,449,55.4,683,84.3,678,83.7,182,22.5,683,683,265,38.8,418,61.2,2014
