GeoID,Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings!!Mean earnings (dollars),year
1400000US06037119341,"Census Tract 1193.41, Los Angeles County, California",74803,2019
1400000US06037119342,"Census Tract 1193.42, Los Angeles County, California",67175,2019
1400000US06037119400,"Census Tract 1194, Los Angeles County, California",102254,2019
1400000US06037119700,"Census Tract 1197, Los Angeles County, California",91579,2019
1400000US06037119800,"Census Tract 1198, Los Angeles County, California",86996,2019
1400000US06037119900,"Census Tract 1199, Los Angeles County, California",84454,2019
1400000US06037120010,"Census Tract 1200.10, Los Angeles County, California",69534,2019
1400000US06037120020,"Census Tract 1200.20, Los Angeles County, California",44759,2019
1400000US06037120030,"Census Tract 1200.30, Los Angeles County, California",45889,2019
1400000US06037120103,"Census Tract 1201.03, Los Angeles County, California",37547,2019
1400000US06037120104,"Census Tract 1201.04, Los Angeles County, California",51481,2019
1400000US06037120105,"Census Tract 1201.05, Los Angeles County, California",54938,2019
1400000US06037120106,"Census Tract 1201.06, Los Angeles County, California",53760,2019
1400000US06037120107,"Census Tract 1201.07, Los Angeles County, California",48545,2019
1400000US06037120108,"Census Tract 1201.08, Los Angeles County, California",54851,2019
1400000US06037120300,"Census Tract 1203, Los Angeles County, California",79828,2019
1400000US06037120400,"Census Tract 1204, Los Angeles County, California",71915,2019
1400000US06037121010,"Census Tract 1210.10, Los Angeles County, California",87897,2019
1400000US06037121020,"Census Tract 1210.20, Los Angeles County, California",86631,2019
1400000US06037121101,"Census Tract 1211.01, Los Angeles County, California",75571,2019
1400000US06037121102,"Census Tract 1211.02, Los Angeles County, California",72525,2019
1400000US06037121210,"Census Tract 1212.10, Los Angeles County, California",79674,2019
1400000US06037121221,"Census Tract 1212.21, Los Angeles County, California",81891,2019
1400000US06037121222,"Census Tract 1212.22, Los Angeles County, California",61910,2019
1400000US06037121600,"Census Tract 1216, Los Angeles County, California",113425,2019
1400000US06037121801,"Census Tract 1218.01, Los Angeles County, California",53192,2019
1400000US06037121802,"Census Tract 1218.02, Los Angeles County, California",78255,2019
1400000US06037121900,"Census Tract 1219, Los Angeles County, California",74874,2019
1400000US06037122000,"Census Tract 1220, Los Angeles County, California",106433,2019
1400000US06037122120,"Census Tract 1221.20, Los Angeles County, California",72031,2019
1400000US06037122121,"Census Tract 1221.21, Los Angeles County, California",58964,2019
1400000US06037122122,"Census Tract 1221.22, Los Angeles County, California",56312,2019
1400000US06037122200,"Census Tract 1222, Los Angeles County, California",69018,2019
1400000US06037122410,"Census Tract 1224.10, Los Angeles County, California",56507,2019
1400000US06037122420,"Census Tract 1224.20, Los Angeles County, California",61876,2019
1400000US06037123010,"Census Tract 1230.10, Los Angeles County, California",54874,2019
1400000US06037123020,"Census Tract 1230.20, Los Angeles County, California",64647,2019
1400000US06037123103,"Census Tract 1231.03, Los Angeles County, California",73367,2019
1400000US06037123104,"Census Tract 1231.04, Los Angeles County, California",65521,2019
1400000US06037123203,"Census Tract 1232.03, Los Angeles County, California",52689,2019
1400000US06037123204,"Census Tract 1232.04, Los Angeles County, California",58655,2019
1400000US06037123205,"Census Tract 1232.05, Los Angeles County, California",61609,2019
1400000US06037123206,"Census Tract 1232.06, Los Angeles County, California",61667,2019
1400000US06037123301,"Census Tract 1233.01, Los Angeles County, California",85839,2019
1400000US06037123303,"Census Tract 1233.03, Los Angeles County, California",70131,2019
1400000US06037123304,"Census Tract 1233.04, Los Angeles County, California",63290,2019
1400000US06037123410,"Census Tract 1234.10, Los Angeles County, California",72755,2019
1400000US06037123420,"Census Tract 1234.20, Los Angeles County, California",65816,2019
1400000US06037123510,"Census Tract 1235.10, Los Angeles County, California",67279,2019
1400000US06037123520,"Census Tract 1235.20, Los Angeles County, California",70781,2019
1400000US06037123601,"Census Tract 1236.01, Los Angeles County, California",84284,2019
1400000US06037123602,"Census Tract 1236.02, Los Angeles County, California",82243,2019
1400000US06037123700,"Census Tract 1237, Los Angeles County, California",90562,2019
1400000US06037123800,"Census Tract 1238, Los Angeles County, California",109097,2019
1400000US06037123901,"Census Tract 1239.01, Los Angeles County, California",85335,2019
1400000US06037123902,"Census Tract 1239.02, Los Angeles County, California",78237,2019
1400000US06037124000,"Census Tract 1240, Los Angeles County, California",115715,2019
1400000US06037124102,"Census Tract 1241.02, Los Angeles County, California",76943,2019
1400000US06037124103,"Census Tract 1241.03, Los Angeles County, California",64820,2019
1400000US06037124104,"Census Tract 1241.04, Los Angeles County, California",53542,2019
1400000US06037124105,"Census Tract 1241.05, Los Angeles County, California",68154,2019
1400000US06037124201,"Census Tract 1242.01, Los Angeles County, California",74071,2019
1400000US06037124203,"Census Tract 1242.03, Los Angeles County, California",66259,2019
1400000US06037124204,"Census Tract 1242.04, Los Angeles County, California",56138,2019
1400000US06037124300,"Census Tract 1243, Los Angeles County, California",64284,2019
1400000US06037124400,"Census Tract 1244, Los Angeles County, California",114229,2019
1400000US06037124500,"Census Tract 1245, Los Angeles County, California",122386,2019
1400000US06037124600,"Census Tract 1246, Los Angeles County, California",97422,2019
1400000US06037124700,"Census Tract 1247, Los Angeles County, California",134015,2019
1400000US06037124902,"Census Tract 1249.02, Los Angeles County, California",60121,2019
1400000US06037124903,"Census Tract 1249.03, Los Angeles County, California",82938,2019
1400000US06037125100,"Census Tract 1251, Los Angeles County, California",97884,2019
1400000US06037125200,"Census Tract 1252, Los Angeles County, California",93786,2019
1400000US06037125310,"Census Tract 1253.10, Los Angeles County, California",94788,2019
1400000US06037125320,"Census Tract 1253.20, Los Angeles County, California",64200,2019
1400000US06037125401,"Census Tract 1254.01, Los Angeles County, California",73913,2019
1400000US06037125402,"Census Tract 1254.02, Los Angeles County, California",106515,2019
1400000US06037125501,"Census Tract 1255.01, Los Angeles County, California",74936,2019
1400000US06037125502,"Census Tract 1255.02, Los Angeles County, California",87298,2019
1400000US06037125600,"Census Tract 1256, Los Angeles County, California",146212,2019
1400000US06037127102,"Census Tract 1271.02, Los Angeles County, California",68020,2019
1400000US06037127103,"Census Tract 1271.03, Los Angeles County, California",68023,2019
1400000US06037127104,"Census Tract 1271.04, Los Angeles County, California",59675,2019
1400000US06037127210,"Census Tract 1272.10, Los Angeles County, California",70890,2019
1400000US06037127220,"Census Tract 1272.20, Los Angeles County, California",74924,2019
1400000US06037127300,"Census Tract 1273, Los Angeles County, California",72040,2019
1400000US06037127400,"Census Tract 1274, Los Angeles County, California",75550,2019
1400000US06037127520,"Census Tract 1275.20, Los Angeles County, California",47802,2019
1400000US06037127603,"Census Tract 1276.03, Los Angeles County, California",51432,2019
1400000US06037127604,"Census Tract 1276.04, Los Angeles County, California",67336,2019
1400000US06037127605,"Census Tract 1276.05, Los Angeles County, California",61049,2019
1400000US06037127606,"Census Tract 1276.06, Los Angeles County, California",80555,2019
1400000US06037127711,"Census Tract 1277.11, Los Angeles County, California",83285,2019
1400000US06037127712,"Census Tract 1277.12, Los Angeles County, California",55795,2019
1400000US06037127803,"Census Tract 1278.03, Los Angeles County, California",72234,2019
1400000US06037127804,"Census Tract 1278.04, Los Angeles County, California",63285,2019
1400000US06037127805,"Census Tract 1278.05, Los Angeles County, California",59389,2019
1400000US06037127806,"Census Tract 1278.06, Los Angeles County, California",56779,2019
1400000US06037127910,"Census Tract 1279.10, Los Angeles County, California",56849,2019
1400000US06037127920,"Census Tract 1279.20, Los Angeles County, California",72715,2019
1400000US06037128101,"Census Tract 1281.01, Los Angeles County, California",77166,2019
1400000US06037128102,"Census Tract 1281.02, Los Angeles County, California",56537,2019
1400000US06037128210,"Census Tract 1282.10, Los Angeles County, California",44842,2019
1400000US06037128220,"Census Tract 1282.20, Los Angeles County, California",67596,2019
1400000US06037128302,"Census Tract 1283.02, Los Angeles County, California",53464,2019
1400000US06037128303,"Census Tract 1283.03, Los Angeles County, California",44138,2019
1400000US06037128400,"Census Tract 1284, Los Angeles County, California",102246,2019
1400000US06037128500,"Census Tract 1285, Los Angeles County, California",88775,2019
1400000US06037128601,"Census Tract 1286.01, Los Angeles County, California",77340,2019
1400000US06037128602,"Census Tract 1286.02, Los Angeles County, California",108205,2019
1400000US06037128702,"Census Tract 1287.02, Los Angeles County, California",106553,2019
1400000US06037128801,"Census Tract 1288.01, Los Angeles County, California",71408,2019
1400000US06037128802,"Census Tract 1288.02, Los Angeles County, California",126774,2019
1400000US06037128910,"Census Tract 1289.10, Los Angeles County, California",129954,2019
1400000US06037131010,"Census Tract 1310.10, Los Angeles County, California",73886,2019
1400000US06037131020,"Census Tract 1310.20, Los Angeles County, California",92879,2019
1400000US06037131100,"Census Tract 1311, Los Angeles County, California",115881,2019
1400000US06037131200,"Census Tract 1312, Los Angeles County, California",107380,2019
1400000US06037131300,"Census Tract 1313, Los Angeles County, California",93721,2019
1400000US06037131400,"Census Tract 1314, Los Angeles County, California",78956,2019
1400000US06037131600,"Census Tract 1316, Los Angeles County, California",96962,2019
1400000US06037131701,"Census Tract 1317.01, Los Angeles County, California",87117,2019
1400000US06037131702,"Census Tract 1317.02, Los Angeles County, California",84373,2019
1400000US06037131800,"Census Tract 1318, Los Angeles County, California",79714,2019
1400000US06037131900,"Census Tract 1319, Los Angeles County, California",98466,2019
1400000US06037132001,"Census Tract 1320.01, Los Angeles County, California",101790,2019
1400000US06037132002,"Census Tract 1320.02, Los Angeles County, California",101566,2019
1400000US06037132101,"Census Tract 1321.01, Los Angeles County, California",98670,2019
1400000US06037132102,"Census Tract 1321.02, Los Angeles County, California",73938,2019
1400000US06037132300,"Census Tract 1323, Los Angeles County, California",81839,2019
1400000US06037132501,"Census Tract 1325.01, Los Angeles County, California",82609,2019
1400000US06037132502,"Census Tract 1325.02, Los Angeles County, California",73902,2019
1400000US06037132700,"Census Tract 1327, Los Angeles County, California",101830,2019
1400000US06037132900,"Census Tract 1329, Los Angeles County, California",109358,2019
1400000US06037133000,"Census Tract 1330, Los Angeles County, California",82707,2019
1400000US06037133100,"Census Tract 1331, Los Angeles County, California",94432,2019
1400000US06037134001,"Census Tract 1340.01, Los Angeles County, California",71829,2019
1400000US06037134002,"Census Tract 1340.02, Los Angeles County, California",75712,2019
1400000US06037134101,"Census Tract 1341.01, Los Angeles County, California",89974,2019
