GeoID,Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings!!Mean earnings (dollars),year
0500000US06037,"Los Angeles County, California",119875,2022
1400000US06037123020,Census Tract 1230.20; Los Angeles County; California,91002,2022
1400000US06037123103,Census Tract 1231.03; Los Angeles County; California,89423,2022
1400000US06037123104,Census Tract 1231.04; Los Angeles County; California,83933,2022
1400000US06037123203,Census Tract 1232.03; Los Angeles County; California,57934,2022
1400000US06037123204,Census Tract 1232.04; Los Angeles County; California,68195,2022
1400000US06037123205,Census Tract 1232.05; Los Angeles County; California,80391,2022
1400000US06037123206,Census Tract 1232.06; Los Angeles County; California,57566,2022
1400000US06037123301,Census Tract 1233.01; Los Angeles County; California,85146,2022
1400000US06037123303,Census Tract 1233.03; Los Angeles County; California,87500,2022
1400000US06037123304,Census Tract 1233.04; Los Angeles County; California,77105,2022
1400000US06037123410,Census Tract 1234.10; Los Angeles County; California,87976,2022
1400000US06037123420,Census Tract 1234.20; Los Angeles County; California,88186,2022
1400000US06037123510,Census Tract 1235.10; Los Angeles County; California,82303,2022
1400000US06037123520,Census Tract 1235.20; Los Angeles County; California,88954,2022
1400000US06037123601,Census Tract 1236.01; Los Angeles County; California,99122,2022
1400000US06037123602,Census Tract 1236.02; Los Angeles County; California,96307,2022
1400000US06037123700,Census Tract 1237; Los Angeles County; California,106094,2022
1400000US06037123800,Census Tract 1238; Los Angeles County; California,143399,2022
1400000US06037123901,Census Tract 1239.01; Los Angeles County; California,90103,2022
1400000US06037123902,Census Tract 1239.02; Los Angeles County; California,102218,2022
1400000US06037124000,Census Tract 1240; Los Angeles County; California,126622,2022
1400000US06037124102,Census Tract 1241.02; Los Angeles County; California,102476,2022
1400000US06037124103,Census Tract 1241.03; Los Angeles County; California,69499,2022
1400000US06037124104,Census Tract 1241.04; Los Angeles County; California,71169,2022
1400000US06037124105,Census Tract 1241.05; Los Angeles County; California,81043,2022
1400000US06037124201,Census Tract 1242.01; Los Angeles County; California,86461,2022
1400000US06037124203,Census Tract 1242.03; Los Angeles County; California,94389,2022
1400000US06037124204,Census Tract 1242.04; Los Angeles County; California,71058,2022
1400000US06037124300,Census Tract 1243; Los Angeles County; California,93169,2022
1400000US06037124400,Census Tract 1244; Los Angeles County; California,127596,2022
1400000US06037124500,Census Tract 1245; Los Angeles County; California,144204,2022
1400000US06037124600,Census Tract 1246; Los Angeles County; California,113154,2022
1400000US06037124700,Census Tract 1247; Los Angeles County; California,144011,2022
1400000US06037124902,Census Tract 1249.02; Los Angeles County; California,81528,2022
1400000US06037124903,Census Tract 1249.03; Los Angeles County; California,98846,2022
1400000US06037125101,Census Tract 1251.01; Los Angeles County; California,90824,2022
1400000US06037125102,Census Tract 1251.02; Los Angeles County; California,167543,2022
1400000US06037125200,Census Tract 1252; Los Angeles County; California,109171,2022
1400000US06037125310,Census Tract 1253.10; Los Angeles County; California,98652,2022
1400000US06037125321,Census Tract 1253.21; Los Angeles County; California,75023,2022
1400000US06037125322,Census Tract 1253.22; Los Angeles County; California,72535,2022
1400000US06037125402,Census Tract 1254.02; Los Angeles County; California,108945,2022
1400000US06037125403,Census Tract 1254.03; Los Angeles County; California,82992,2022
1400000US06037125404,Census Tract 1254.04; Los Angeles County; California,101390,2022
1400000US06037125501,Census Tract 1255.01; Los Angeles County; California,97910,2022
1400000US06037125502,Census Tract 1255.02; Los Angeles County; California,177823,2022
1400000US06037125600,Census Tract 1256; Los Angeles County; California,170638,2022
1400000US06037127102,Census Tract 1271.02; Los Angeles County; California,71417,2022
1400000US06037127103,Census Tract 1271.03; Los Angeles County; California,63520,2022
1400000US06037127104,Census Tract 1271.04; Los Angeles County; California,64391,2022
1400000US06037127210,Census Tract 1272.10; Los Angeles County; California,88357,2022
1400000US06037127220,Census Tract 1272.20; Los Angeles County; California,95164,2022
1400000US06037127300,Census Tract 1273; Los Angeles County; California,107888,2022
1400000US06037127400,Census Tract 1274; Los Angeles County; California,81031,2022
1400000US06037127520,Census Tract 1275.20; Los Angeles County; California,56847,2022
1400000US06037127603,Census Tract 1276.03; Los Angeles County; California,71995,2022
1400000US06037127604,Census Tract 1276.04; Los Angeles County; California,75362,2022
1400000US06037127605,Census Tract 1276.05; Los Angeles County; California,82393,2022
1400000US06037127606,Census Tract 1276.06; Los Angeles County; California,97424,2022
1400000US06037127711,Census Tract 1277.11; Los Angeles County; California,99619,2022
1400000US06037127712,Census Tract 1277.12; Los Angeles County; California,73152,2022
1400000US06037127803,Census Tract 1278.03; Los Angeles County; California,91495,2022
1400000US06037127804,Census Tract 1278.04; Los Angeles County; California,97335,2022
1400000US06037127805,Census Tract 1278.05; Los Angeles County; California,70251,2022
1400000US06037127806,Census Tract 1278.06; Los Angeles County; California,95118,2022
1400000US06037127910,Census Tract 1279.10; Los Angeles County; California,76984,2022
1400000US06037127920,Census Tract 1279.20; Los Angeles County; California,82135,2022
1400000US06037128101,Census Tract 1281.01; Los Angeles County; California,125779,2022
1400000US06037128102,Census Tract 1281.02; Los Angeles County; California,78702,2022
1400000US06037128210,Census Tract 1282.10; Los Angeles County; California,62472,2022
1400000US06037128220,Census Tract 1282.20; Los Angeles County; California,86234,2022
1400000US06037128302,Census Tract 1283.02; Los Angeles County; California,78912,2022
1400000US06037128303,Census Tract 1283.03; Los Angeles County; California,54468,2022
1400000US06037128400,Census Tract 1284; Los Angeles County; California,122071,2022
1400000US06037128500,Census Tract 1285; Los Angeles County; California,129422,2022
1400000US06037128601,Census Tract 1286.01; Los Angeles County; California,84254,2022
1400000US06037128602,Census Tract 1286.02; Los Angeles County; California,141084,2022
1400000US06037128703,Census Tract 1287.03; Los Angeles County; California,116191,2022
1400000US06037128704,Census Tract 1287.04; Los Angeles County; California,224636,2022
1400000US06037128801,Census Tract 1288.01; Los Angeles County; California,122392,2022
1400000US06037128802,Census Tract 1288.02; Los Angeles County; California,139552,2022
1400000US06037128910,Census Tract 1289.10; Los Angeles County; California,138566,2022
1400000US06037131021,Census Tract 1310.21; Los Angeles County; California,67950,2022
1400000US06037131022,Census Tract 1310.22; Los Angeles County; California,87714,2022
1400000US06037131023,Census Tract 1310.23; Los Angeles County; California,89002,2022
1400000US06037131024,Census Tract 1310.24; Los Angeles County; California,118431,2022
1400000US06037131100,Census Tract 1311; Los Angeles County; California,122044,2022
1400000US06037131200,Census Tract 1312; Los Angeles County; California,162071,2022
1400000US06037131300,Census Tract 1313; Los Angeles County; California,106651,2022
1400000US06037131400,Census Tract 1314; Los Angeles County; California,114888,2022
1400000US06037131600,Census Tract 1316; Los Angeles County; California,99579,2022
1400000US06037131701,Census Tract 1317.01; Los Angeles County; California,119130,2022
1400000US06037131702,Census Tract 1317.02; Los Angeles County; California,102102,2022
1400000US06037131801,Census Tract 1318.01; Los Angeles County; California,71533,2022
1400000US06037131802,Census Tract 1318.02; Los Angeles County; California,157880,2022
1400000US06037131900,Census Tract 1319; Los Angeles County; California,135648,2022
1400000US06037132001,Census Tract 1320.01; Los Angeles County; California,115185,2022
1400000US06037132002,Census Tract 1320.02; Los Angeles County; California,108258,2022
1400000US06037132101,Census Tract 1321.01; Los Angeles County; California,108102,2022
1400000US06037132102,Census Tract 1321.02; Los Angeles County; California,92028,2022
1400000US06037132301,Census Tract 1323.01; Los Angeles County; California,78909,2022
1400000US06037132302,Census Tract 1323.02; Los Angeles County; California,99842,2022
1400000US06037132501,Census Tract 1325.01; Los Angeles County; California,90672,2022
1400000US06037132502,Census Tract 1325.02; Los Angeles County; California,84322,2022
1400000US06037132700,Census Tract 1327; Los Angeles County; California,106695,2022
