GeoID,Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!With earnings!!Mean earnings (dollars),year
1400000US06037123700,"Census Tract 1237, Los Angeles County, California",76655,2016
1400000US06037123800,"Census Tract 1238, Los Angeles County, California",77721,2016
1400000US06037123901,"Census Tract 1239.01, Los Angeles County, California",70974,2016
1400000US06037123902,"Census Tract 1239.02, Los Angeles County, California",82268,2016
1400000US06037124000,"Census Tract 1240, Los Angeles County, California",97995,2016
1400000US06037124102,"Census Tract 1241.02, Los Angeles County, California",65730,2016
1400000US06037124103,"Census Tract 1241.03, Los Angeles County, California",55996,2016
1400000US06037124104,"Census Tract 1241.04, Los Angeles County, California",43658,2016
1400000US06037124105,"Census Tract 1241.05, Los Angeles County, California",53263,2016
1400000US06037124201,"Census Tract 1242.01, Los Angeles County, California",70911,2016
1400000US06037124203,"Census Tract 1242.03, Los Angeles County, California",55581,2016
1400000US06037124204,"Census Tract 1242.04, Los Angeles County, California",45312,2016
1400000US06037124300,"Census Tract 1243, Los Angeles County, California",58861,2016
1400000US06037124400,"Census Tract 1244, Los Angeles County, California",89565,2016
1400000US06037124500,"Census Tract 1245, Los Angeles County, California",97384,2016
1400000US06037124600,"Census Tract 1246, Los Angeles County, California",101632,2016
1400000US06037124700,"Census Tract 1247, Los Angeles County, California",109261,2016
1400000US06037124902,"Census Tract 1249.02, Los Angeles County, California",57993,2016
1400000US06037124903,"Census Tract 1249.03, Los Angeles County, California",62608,2016
1400000US06037125100,"Census Tract 1251, Los Angeles County, California",108302,2016
1400000US06037125200,"Census Tract 1252, Los Angeles County, California",78400,2016
1400000US06037125310,"Census Tract 1253.10, Los Angeles County, California",72052,2016
1400000US06037125320,"Census Tract 1253.20, Los Angeles County, California",61941,2016
1400000US06037125401,"Census Tract 1254.01, Los Angeles County, California",63831,2016
1400000US06037125402,"Census Tract 1254.02, Los Angeles County, California",87709,2016
1400000US06037125501,"Census Tract 1255.01, Los Angeles County, California",69797,2016
1400000US06037125502,"Census Tract 1255.02, Los Angeles County, California",62760,2016
1400000US06037125600,"Census Tract 1256, Los Angeles County, California",93371,2016
1400000US06037127102,"Census Tract 1271.02, Los Angeles County, California",60955,2016
1400000US06037127103,"Census Tract 1271.03, Los Angeles County, California",62553,2016
1400000US06037127104,"Census Tract 1271.04, Los Angeles County, California",63365,2016
1400000US06037127210,"Census Tract 1272.10, Los Angeles County, California",59508,2016
1400000US06037127220,"Census Tract 1272.20, Los Angeles County, California",47489,2016
1400000US06037127300,"Census Tract 1273, Los Angeles County, California",58636,2016
1400000US06037127400,"Census Tract 1274, Los Angeles County, California",54134,2016
1400000US06037127520,"Census Tract 1275.20, Los Angeles County, California",39278,2016
1400000US06037127603,"Census Tract 1276.03, Los Angeles County, California",49630,2016
1400000US06037127604,"Census Tract 1276.04, Los Angeles County, California",48544,2016
1400000US06037127605,"Census Tract 1276.05, Los Angeles County, California",61842,2016
1400000US06037127606,"Census Tract 1276.06, Los Angeles County, California",70107,2016
1400000US06037127711,"Census Tract 1277.11, Los Angeles County, California",84392,2016
1400000US06037127712,"Census Tract 1277.12, Los Angeles County, California",49607,2016
1400000US06037127803,"Census Tract 1278.03, Los Angeles County, California",55903,2016
1400000US06037127804,"Census Tract 1278.04, Los Angeles County, California",51461,2016
1400000US06037127805,"Census Tract 1278.05, Los Angeles County, California",49918,2016
1400000US06037127806,"Census Tract 1278.06, Los Angeles County, California",43668,2016
1400000US06037127910,"Census Tract 1279.10, Los Angeles County, California",41937,2016
1400000US06037127920,"Census Tract 1279.20, Los Angeles County, California",58526,2016
1400000US06037128101,"Census Tract 1281.01, Los Angeles County, California",75530,2016
1400000US06037128102,"Census Tract 1281.02, Los Angeles County, California",43717,2016
1400000US06037128210,"Census Tract 1282.10, Los Angeles County, California",34949,2016
1400000US06037128220,"Census Tract 1282.20, Los Angeles County, California",61772,2016
1400000US06037128302,"Census Tract 1283.02, Los Angeles County, California",48081,2016
1400000US06037128303,"Census Tract 1283.03, Los Angeles County, California",33875,2016
1400000US06037128400,"Census Tract 1284, Los Angeles County, California",85154,2016
1400000US06037128500,"Census Tract 1285, Los Angeles County, California",79808,2016
1400000US06037128601,"Census Tract 1286.01, Los Angeles County, California",57441,2016
1400000US06037128602,"Census Tract 1286.02, Los Angeles County, California",91700,2016
1400000US06037128702,"Census Tract 1287.02, Los Angeles County, California",97733,2016
1400000US06037128801,"Census Tract 1288.01, Los Angeles County, California",75804,2016
1400000US06037128802,"Census Tract 1288.02, Los Angeles County, California",118299,2016
1400000US06037128910,"Census Tract 1289.10, Los Angeles County, California",109092,2016
1400000US06037131010,"Census Tract 1310.10, Los Angeles County, California",62392,2016
1400000US06037131020,"Census Tract 1310.20, Los Angeles County, California",70413,2016
1400000US06037131100,"Census Tract 1311, Los Angeles County, California",95030,2016
1400000US06037131200,"Census Tract 1312, Los Angeles County, California",96407,2016
1400000US06037131300,"Census Tract 1313, Los Angeles County, California",79874,2016
1400000US06037131400,"Census Tract 1314, Los Angeles County, California",75805,2016
1400000US06037131600,"Census Tract 1316, Los Angeles County, California",79222,2016
